anchor_text,target_url,usage_count,diversity_status
caring for your pet,https://pethubonline.com/best-cat-harnesses-uk,1,ok
caring for your pet,https://pethubonline.com/best-dog-water-bottles-uk,1,ok
pet first aid guide,https://pethubonline.com/pet-first-aid-basics,1,ok
best cat toys uk (2026) – complete guide,https://pethubonline.com/best-cat-toys-uk,3,warning
diy cat toys from household,https://pethubonline.com/,3,warning
cat puzzle feeders guide,https://pethubonline.com/,3,warning
interactive cat toys for solo play : keep cats busy,https://pethubonline.com/,3,warning
engaging cat activities,https://pethubonline.com/cat-toy-types-glossary,3,warning
engaging cat activities,https://pethubonline.com/,3,warning
engaging cat activities,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features,3,warning
engaging cat activities,https://pethubonline.com/how-often-replace-cat-toys,1,ok
diy cat toys from household items: easy projects,https://pethubonline.com/,3,warning
cat puzzle feeders uk: guide,https://pethubonline.com/,3,warning
interactive cat toys guide,https://pethubonline.com/,3,warning
best cat toys,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features,3,warning
best cat toys,https://pethubonline.com/how-to-choose-cat-toys-personality,1,ok
best cat toys,https://pethubonline.com/cat-toy-safety-guide,2,ok
best cat toys,https://pethubonline.com/,3,warning
best cat toys,https://pethubonline.com/best-interactive-cat-toys-indoor-cats,1,ok
best cat toys,https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate,1,ok
cat puzzle feeders uk: guide to food puzzles for cats,https://pethubonline.com/,3,warning
interactive cat toys for solo play uk: keep cats busy,https://pethubonline.com/,3,warning
cat toy terminology: understanding play types and toy features,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features,3,warning
cat toy types explained: a complete glossary,https://pethubonline.com/cat-toy-types-glossary,3,warning
diy cat toys guide,https://pethubonline.com/,3,warning
interactive cat toys for solo,https://pethubonline.com/,3,warning
cat toy terminology: understanding play,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features,3,warning
cat toy types explained: a,https://pethubonline.com/cat-toy-types-glossary,3,warning
cat puzzle feeders : guide to food puzzles for cats,https://pethubonline.com/,3,warning
cat toy terminology: guide,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features,3,warning
cat toy types guide,https://pethubonline.com/cat-toy-types-glossary,1,ok
how to choose the right cat toy for your cat&#8217;s personality,https://pethubonline.com/how-to-choose-cat-toys-personality,1,ok
understanding cat play behaviour: what,https://pethubonline.com/understanding-cat-play-behaviour,1,ok
cat toys faq: guide,https://pethubonline.com/cat-toys-faq,1,ok
cat toy rotation: keep toys fresh and engaging,https://pethubonline.com/cat-toy-rotation-guide,1,ok
cat puzzle feeders uk: tips to food puzzles for cats,https://pethubonline.com/,3,warning
cat playtime essentials,https://pethubonline.com/,3,warning
dog toys uk (2026) – essential guide for pet owners,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog coats and jackets uk:,https://pethubonline.com/,3,warning
dog travel accessories guide,https://pethubonline.com/,3,warning
dog feeding station setup: complete guide for owners,https://pethubonline.com/,3,warning
dog accessories guide,https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels,3,warning
dog accessories guide,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
dog accessories guide,https://pethubonline.com/,3,warning
dog accessories guide,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog toys uk (2026) –,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog coats and jackets uk: choosing the right one,https://pethubonline.com/,3,warning
dog travel accessories uk: essential gear for uk trips,https://pethubonline.com/,3,warning
dog feeding station setup: complete guide for uk owners,https://pethubonline.com/,3,warning
"dog bed terminology: materials, types, and sizing terms explained",https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
dog toys uk guide,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog coats and guide,https://pethubonline.com/,3,warning
dog travel accessories uk: essential,https://pethubonline.com/,3,warning
dog feeding station setup: complete,https://pethubonline.com/,3,warning
"dog bed terminology: materials, types,",https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
dog toys (2026) – essential guide for pet owners,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog coats and jackets : choosing the right one,https://pethubonline.com/,3,warning
dog travel accessories : essential gear for trips,https://pethubonline.com/,3,warning
dog feeding station guide,https://pethubonline.com/,3,warning
dog bed terminology: guide,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
dog toys uk (2026) – essential tips for pet owners,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
essential dog gear,https://pethubonline.com/,3,warning
essential dog gear,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
essential dog gear,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
dog feeding station setup: complete tips for uk owners,https://pethubonline.com/,3,warning
supplies for your dog,https://pethubonline.com/,3,warning
supplies for your dog,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained,3,warning
supplies for your dog,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,3,warning
indoor cat diet and nutrition: feeding guidelines for house cats,https://pethubonline.com/indoor-cat-diet-nutrition-guide,1,ok
creating a cat-friendly guide,https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats,1,ok
cat indoor living tips,https://pethubonline.com/indoor-cat-terminology-a-complete-glossary-for-cat-owners,1,ok
cat indoor living tips,https://pethubonline.com/,1,ok
diy catio plans: how to build a cat enclosure in the uk,https://pethubonline.com/,1,ok
indoor cat exercise: daily routines to keep uk cats active,https://pethubonline.com/,1,ok
cat toy safety guide: what,https://pethubonline.com/cat-toy-safety-guide,1,ok
best interactive cat guide,https://pethubonline.com/best-interactive-cat-toys-indoor-cats,1,ok
cat enrichment activities beyond toys: complete tips,https://pethubonline.com/cat-enrichment-activities-beyond-toys,1,ok
diy cat toys: safe homemade options your cat will love,https://pethubonline.com/diy-cat-toys-safe-homemade-options,1,ok
best catnip toys uk (2026) – what works and why,https://pethubonline.com/best-catnip-toys-uk,1,ok
best interactive cat toys uk (2026) – wand &#038; puzzle guide,https://pethubonline.com/best-interactive-cat-toys-uk,1,ok
dog bed placement guide: where to put your dog’s bed,https://pethubonline.com/dog-bed-placement-guide,1,ok
how to wash and dry,https://pethubonline.com/how-to-wash-dog-bed-safely,1,ok
seasonal pet safety: protecting pets through the year,https://pethubonline.com/seasonal-pet-safety-guide,1,ok
multi-pet household tips: living with,https://pethubonline.com/multi-pet-household-tips,1,ok
pet hydration guide: how much water does your pet need?,https://pethubonline.com/pet-hydration-guide,1,ok
best self-cleaning litter guide,https://pethubonline.com/best-self-cleaning-litter-trays-uk,1,ok
best cat litter uk (2026),https://pethubonline.com/best-cat-litter-uk,1,ok
best cat litter guide,https://pethubonline.com/best-cat-litter-trays-uk,1,ok
best cat trees uk (2026) – climbing &#038; scratching towers,https://pethubonline.com/best-cat-trees-uk,1,ok
best cat id tags uk (2026) – identification guide,https://pethubonline.com/best-cat-id-tags-uk,1,ok
best cat gps trackers uk,https://pethubonline.com/best-cat-gps-trackers-uk,1,ok
best cat collars guide,https://pethubonline.com/best-cat-collars-uk,1,ok
best cat shampoo (2026) – when &#038; how to bathe,https://pethubonline.com/best-cat-shampoo-uk,1,ok
best cat nail clippers uk (2026) – safe trimming tips,https://pethubonline.com/best-cat-nail-clippers-uk,1,ok
best elevated dog bowls uk (2026) – raised feeder guide,https://pethubonline.com/best-elevated-dog-bowls-uk,1,ok
best dog bowls guide,https://pethubonline.com/best-dog-bowls-feeding-uk,1,ok
dog food glossary: understanding ingredients,https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels,1,ok
puppy care glossary: guide,https://pethubonline.com/puppy-care-glossary-essential-terms-for-new-puppy-owners,1,ok
